# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cpu-clock:u'
# Event count (approx.): 14005023375
#
# Children|Self|Symbol|IPC   [IPC Coverage]
0.04%|0.04%|[.] simdutf::convert_utf16le_to_utf8_with_errors(char16_t const*, unsigned long, char*)|-      -
0.04%|0.04%|[.] simdutf::utf16_length_from_utf8(char const*, unsigned long)|-      -
0.04%|0.04%|[.] 0x0000000000098630|-      -
0.04%|0.04%|[.] 0x0000000000098634|-      -
0.04%|0.04%|[.] 0x0000000000098653|-      -
0.04%|0.04%|[.] 0x000000000009865d|-      -
0.04%|0.04%|[.] 0x00000000000986b0|-      -
0.04%|0.04%|[.] 0x00000000000986b4|-      -
0.04%|0.04%|[.] 0x00000000000986cf|-      -
0.04%|0.04%|[.] 0x0000000000188620|-      -
0.04%|0.04%|[.] 0x0000000000188884|-      -
0.04%|0.04%|[.] 0x0000000000188919|-      -
0.04%|0.04%|[.] 0x0000000000188928|-      -
0.04%|0.04%|[.] 0x0000000000188943|-      -
0.04%|0.04%|[.] 0x00000000001889cb|-      -
0.04%|0.04%|[.] 0x0000000000188d54|-      -
0.04%|0.04%|[.] 0x0000000000188d80|-      -
0.04%|0.04%|[.] 0x0000000000188d84|-      -
0.04%|0.04%|[.] 0x0000000000188d8b|-      -
0.04%|0.04%|[.] 0x0000000000188db0|-      -
0.04%|0.04%|[.] 0x0000000000188db5|-      -
0.04%|0.04%|[.] 0x0000000000188dcd|-      -
0.04%|0.04%|[.] 0x0000000000188df6|-      -
0.04%|0.04%|[.] 0x0000000000188e69|-      -
0.04%|0.04%|[.] 0x0000000000188e74|-      -
0.04%|0.04%|[.] 0x0000000000189829|-      -
0.04%|0.04%|[.] 0x00000000001898a4|-      -
0.04%|0.04%|[.] 0x00000000001898b3|-      -
0.04%|0.00%|[.] _M0IP016_24default__implP311moonbitlang5async2io6Reader11read__untilGRP311moonbitlang5async6socket3TcpE|-      -
0.04%|0.00%|[.] _M0MP311moonbitlang5async2io12ReaderBuffer11try__ensureGRP311moonbitlang5async6socket3TcpE|-      -
0.04%|0.00%|[.] _M0MP311moonbitlang5async2io12ReaderBuffer9find__optGRP311moonbitlang5async6socket3TcpE|-      -
0.04%|0.00%|[.] _M0MP311moonbitlang5async2io12ReaderBuffer9find__optN16_2aasync__driverS685GRP311moonbitlang5async6socket3TcpE|-      -
0.04%|0.00%|[.] _M0MP311moonbitlang5async4http16ServerConnection13read__request|-      -
0.04%|0.00%|[.] _M0MP311moonbitlang5async4http16ServerConnection13read__requestN16_2aasync__driverS1886|-      -
0.04%|0.00%|[.] _M0MP311moonbitlang5async4http6Reader13read__request|-      -
0.04%|0.00%|[.] _M0MP311moonbitlang5async4http6Server12run__foreverC31091l287|-      -
0.04%|0.00%|[.] _M0MP311moonbitlang5async4http6Server12run__foreverN16_2aasync__driverS2773|-      -
0.04%|0.00%|[.] _M0MP311moonbitlang5async6socket9TcpServer20run__forever_2einnerN16_2aasync__driverS1219C29016l162|-      -
0.04%|0.00%|[.] _M0MPC14json12ParseContext19lex__property__name|-      -
0.04%|0.00%|[.] _M0MPC14json12ParseContext20lex__property__name2|-      -
0.04%|0.00%|[.] _M0MPC15array5Array4pushGURP411moonbitlang5async8internal11event__loop5TimerORPC111sorted__set4NodeGRP411moonbitlang5async8internal11event__loop5TimerEEE|-      -
0.04%|0.00%|[.] mi_page_queue_find_free_ex|-      -
0.04%|0.00%|[.] 0x00007a1828498630|-      -
0.04%|0.00%|[.] 0x00007a1828498634|-      -
0.04%|0.00%|[.] 0x00007a1828498653|-      -
0.04%|0.00%|[.] 0x00007a182849865d|-      -
0.04%|0.00%|[.] 0x00007a18284986b0|-      -
0.04%|0.00%|[.] 0x00007a18284986b4|-      -
0.04%|0.00%|[.] 0x00007a18284986cf|-      -
0.04%|0.00%|[.] 0x00007a1828588620|-      -
0.04%|0.00%|[.] 0x00007a1828588884|-      -
0.04%|0.00%|[.] 0x00007a1828588919|-      -
0.04%|0.00%|[.] 0x00007a1828588928|-      -
0.04%|0.00%|[.] 0x00007a1828588943|-      -
0.04%|0.00%|[.] 0x00007a18285889cb|-      -
0.04%|0.00%|[.] 0x00007a1828588d54|-      -
0.04%|0.00%|[.] 0x00007a1828588d80|-      -
0.04%|0.00%|[.] 0x00007a1828588d84|-      -
0.04%|0.00%|[.] 0x00007a1828588d8b|-      -
0.04%|0.00%|[.] 0x00007a1828588db0|-      -
0.04%|0.00%|[.] 0x00007a1828588db5|-      -
0.04%|0.00%|[.] 0x00007a1828588dcd|-      -
0.04%|0.00%|[.] 0x00007a1828588df6|-      -
0.04%|0.00%|[.] 0x00007a1828588e69|-      -
0.04%|0.00%|[.] 0x00007a1828588e74|-      -
0.04%|0.00%|[.] 0x00007a1828589829|-      -
0.04%|0.00%|[.] 0x00007a18285898a4|-      -
0.04%|0.00%|[.] 0x00007a18285898b3|-      -


#
# (Cannot load tips.txt file, please install perf!)
#
