# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cpu-clock:u'
# Event count (approx.): 14005023375
#
# Children|Self|Symbol|IPC   [IPC Coverage]
4.23%|0.39%|[.] _M0MP311moonbitlang5async9websocket4Conn4recvN16_2aasync__driverS1469|-      -
4.16%|0.14%|[.] _M0IP016_24default__implP311moonbitlang5async2io6Writer5writeGRP311moonbitlang5async4http16ServerConnectionEC27975|-      -
4.09%|2.55%|[.] read|-      -
4.05%|0.14%|[.] _M0MP311moonbitlang5async9websocket4Conn25flush__frame__unprotected|-      -
3.95%|0.07%|[.] _M0MP311moonbitlang5async9websocket4Conn4recv|-      -
3.91%|3.91%|[.] scan_regular_object|-      -
3.80%|0.22%|[.] _M0IP016_24default__implP311moonbitlang5async2io6Writer5writeGRP311moonbitlang5async9websocket4ConnE|-      -
3.73%|0.61%|[.] _M0IP016_24default__implP311moonbitlang5async2io6Writer5writeGRP311moonbitlang5async4http16ServerConnectionE|-      -
3.62%|0.36%|[.] _M0MPC14json12ParseContext10lex__value|-      -
3.55%|0.07%|[.] _M0MP311moonbitlang5async9websocket4Conn25flush__frame__unprotectedC31495|-      -
3.52%|0.07%|[.] _M0MP37hosi1217speakup17native__transport5Relay7deliver|-      -
3.41%|0.18%|[.] _M0FP211moonbitlang5async17with__task__groupGuEC27143|-      -
3.41%|0.07%|[.] _M0MP311moonbitlang5async9websocket4Conn19recv__frame__header|-      -
3.34%|0.07%|[.] _M0MP311moonbitlang5async9websocket4Conn12end__messageN16_2aasync__driverS1763C32335|-      -
3.30%|0.04%|[.] _M0MPC16string6String17unsafe__substring|-      -
3.27%|0.18%|[.] _M0MP211moonbitlang5async9TaskGroup16spawn__coroutineGuEC26941|-      -
3.19%|0.11%|[.] _M0MP311moonbitlang5async9websocket4Conn19recv__frame__headerN16_2aasync__driverS1065C31694|-      -
3.09%|0.18%|[.] _M0IP311moonbitlang5async9websocket7MessageP311moonbitlang5async2io6Reader14__direct__read|-      -
3.05%|0.14%|[.] _M0IP311moonbitlang5async6socket3TcpP311moonbitlang5async2io6Writer63write__once_2edyncall__as___40moonbitlang_2fasync_2fio_2eWriter|-      -
3.01%|0.11%|[.] _M0FP211moonbitlang5async17with__task__groupGuEC27133|-      -
3.01%|0.07%|[.] _M0MP311moonbitlang5async6aqueue5Queue3getGRP27Hosi12111ws__session7MessageEC26014|-      -
2.91%|0.47%|[.] _M0MP411moonbitlang5async8internal11event__loop8IoHandle5write|-      -
2.91%|0.11%|[.] _M0FP27Hosi12111ws__session21with__session_2einnerN16_2aasync__driverS134C32628|-      -
2.83%|0.14%|[.] _M0MP27Hosi12111ws__session7Session7enqueue|-      -
2.80%|0.04%|[.] _M0MP211moonbitlang5async9TaskGroup16spawn__coroutineGuEC26947|-      -
2.73%|0.11%|[.] _M0FP411moonbitlang5async8internal9coroutine5spawnN16_2aasync__driverS263|-      -
2.69%|0.43%|[.] _M0FP27Hosi12111ws__session21with__session_2einnerN16_2aasync__driverS134C32694|-      -
2.58%|1.26%|[.] _M0MPC15deque5Deque10push__backGRP411moonbitlang5async8internal9coroutine9CoroutineE|-      -
2.58%|0.11%|[.] _M0MP211moonbitlang5async9TaskGroup16spawn__coroutineN16_2aasync__driverS672GuE|-      -
2.44%|0.43%|[.] moonbit_make_bytes|-      -
2.44%|0.04%|[.] _M0MP211moonbitlang5async9TaskGroup16spawn__coroutineGuE|-      -
2.40%|0.00%|[.] _M0FPC28encoding4utf814encode_2einner|-      -
2.37%|0.36%|[.] _M0MP211moonbitlang5async9TaskGroup16spawn__coroutineN8_2adeferS8297GuE|-      -
2.30%|0.32%|[.] _M0MP411moonbitlang5async8internal11event__loop8IoHandle27read__via__event__bus__unixN16_2aasync__driverS2255|-      -
2.19%|0.83%|[.] _M0MPC13set3Set6removeGRP411moonbitlang5async8internal9coroutine9CoroutineE|-      -
2.08%|0.00%|[.] _M0MPC14json12ParseContext20lex__property__name2.part.0|-      -
2.01%|2.01%|[.] mi_malloc|-      -
1.97%|0.07%|[.] _M0FPC28encoding4utf814decode_2einner|-      -
1.94%|0.25%|[.] _M0FP411moonbitlang5async8internal9coroutine5spawn|-      -
1.90%|0.36%|[.] _M0FP37hosi1217speakup9signaling13relay__parsed|-      -
1.90%|0.18%|[.] _M0FP411moonbitlang5async8internal9coroutine15pause__nocancel|-      -
1.87%|1.87%|[.] _M0IPC16string6StringPB4Hash4hash|-      -
1.87%|0.14%|[.] _M0MP411moonbitlang5async8internal11event__loop8IoHandle5writeN16_2aasync__driverS2442|-      -
1.83%|0.11%|[.] _M0MP311moonbitlang5async6aqueue5Queue3getGRP27Hosi12111ws__session7MessageE.part.0|-      -
1.79%|0.75%|[.] _M0IP311moonbitlang5async9websocket4ConnP311moonbitlang5async2io6Writer11write__once|-      -
1.79%|0.14%|[.] _M0FP211moonbitlang5async17with__task__groupGuE|-      -
1.79%|0.11%|[.] _M0FP411moonbitlang5async8internal9coroutine5spawnC25868|-      -
1.79%|0.00%|[.] _M0FP211moonbitlang5async21with__timeout_2einnerGuE|-      -
1.76%|0.00%|[.] moonbit_malloc_array (inlined)|-      -
1.69%|0.22%|[.] _M0MP411moonbitlang5async8internal11event__loop8IoHandle28write__via__event__bus__unix|-      -
1.65%|0.36%|[.] _M0MPC15deque5Deque10push__backGRP311moonbitlang5async6aqueue6ReaderGRP27Hosi12111ws__session7MessageEE|-      -
1.58%|0.11%|[.] _M0MP411moonbitlang5async8internal11event__loop9EventLoop14handle__timers|-      -
1.40%|1.40%|[.] _M0FP311moonbitlang5async9websocket21mask__payload_2einner|-      -
1.40%|1.36%|[.] _M0MP411moonbitlang5async8internal10io__buffer6Buffer11enlarge__to|-      -
1.40%|0.22%|[.] _M0MPB3Map3getGsRPB4JsonE|-      -
1.36%|0.32%|[.] _M0MP411moonbitlang5async8internal11event__loop18UnixEventLoopExtra13handle__event|-      -
1.33%|0.00%|[.] _M0FP411moonbitlang5async8internal9coroutine5spawnC25872|-      -
1.29%|0.22%|[.] moonbit_unsafe_bytes_sub_string|-      -
1.26%|0.04%|[.] moonbit_utf8_len_from_utf16|-      -
