# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cpu-clock:u'
# Event count (approx.): 14005023375
#
# Overhead|Symbol|IPC   [IPC Coverage]
0.29%|[.] _M0IP016_24default__implPB4Hash4hashGRP411moonbitlang5async8internal9coroutine9CoroutineE|-      -
0.29%|[.] _M0IP311moonbitlang5async9websocket7MessageP311moonbitlang5async2io6Reader14__direct__readN16_2aasync__driverS1600C32273|-      -
0.29%|[.] _M0MP411moonbitlang5async8internal11event__loop8IoHandle27read__via__event__bus__unixC26520|-      -
0.29%|[.] _M0MP411moonbitlang5async8internal11event__loop9EventLoop7suspendC26146|-      -
0.25%|[.] _M0FP411moonbitlang5async8internal9coroutine15pause__nocancelN4contS6930|-      -
0.25%|[.] _M0FP411moonbitlang5async8internal9coroutine5spawn|-      -
0.25%|[.] _M0FPC111sorted__set12delete__nodeGRP411moonbitlang5async8internal11event__loop5TimerE|-      -
0.25%|[.] _M0MP411moonbitlang5async8internal11event__loop8IoHandle10wait__readC26381|-      -
0.25%|[.] _M0MP411moonbitlang5async8internal11event__loop8IoHandle27read__via__event__bus__unix|-      -
0.25%|[.] _M0MPC14json12ParseContext21lex__skip__whitespace|-      -
0.22%|[.] _M0FP017____moonbit__mainN16_2aasync__driverS69C33237|-      -
0.22%|[.] _M0FP211moonbitlang5async17with__task__groupGuEC27128l243|-      -
0.22%|[.] _M0FPC14json13parse_2einner|-      -
0.22%|[.] _M0IP016_24default__implP311moonbitlang5async2io6Writer5writeGRP311moonbitlang5async9websocket4ConnE|-      -
0.22%|[.] _M0IP311moonbitlang5async4http6ReaderP311moonbitlang5async2io6Reader23__get__internal__buffer|-      -
0.22%|[.] _M0MP411moonbitlang5async8internal11event__loop8IoHandle28write__via__event__bus__unix|-      -
0.22%|[.] _M0MP411moonbitlang5async8internal11event__loop9EventLoop12run__forever|-      -
0.22%|[.] _M0MPB3Map15set__with__hashGsRPB4JsonE|-      -
0.22%|[.] _M0MPB3Map3getGiRP37hosi1217speakup9signaling3HubE|-      -
0.22%|[.] _M0MPB3Map3getGsRPB4JsonE|-      -
